AdditionalInformation,QuestionStem,Answer,A,B,C,D,E,F,G
"分析：212.168.192.0=11010100.10101000.11000000.00000000\r\n212.168.192.0/18=11111111.11111111.11000000.00000000 划分29子网，2的5次方&gt;=29,\r\n11111111.11111111.11111110.00000000=255.255.254.0    普通","某校园网的地址是212.168.192.0/18，要把该网络分成29个子网，则子网掩码应该是(    )。
",C,255.255.200.0,255.255.224.0,255.255.254.0,255.255.255.0,,,
TCP和UDP都是传输层协议，都使用了IP协议提供的服务，UDP是一个不可靠的、无连接的传输层协议。    普通,"关于TCP和UDP的说法中错误的是（    ）。
",C,TCP和UDP都是传输层的协议,TCP是面向连接的传输协议,UDP是可靠的传输协议,TCP和UDP都是以IP协议为基础,,,
ARP协议把IP地址解析成MAC地址。    普通,"（   ）协议主要功能是完成网络地址向物理地址的转换。
",C,SMTP,HTTP,ARP,IGMP,,,
分析193.155.21.19=193.155.21. 00010011\r\n193.155.21.19/28= 255.255.255.11110000  与运算=193.155.21.00010000=193.155.21.16是子网的网络地址，网络位是28位，主机位是4位，2的4次方=16，该网段有16个IP地址。193.155.21.16--193.155.21.31。193.155.21.16为网络地址，193.155.21.31为广播地址，因此选项193.155.21.17是属于子网的主机地址。    普通,"属于子网193.155.21.19/28的主机地址是（   ）。
",C,193.155.21.14,193.155.21.16,193.155.21.17,193.155.21.31,,,
IP为172.168.16.112，使用23位作为网络地址，子网掩码：11111111.11111111.1111 1110.00000000=255.255.254.0    普通,"某校局域网的一主机IP为172.168.16.112，使用23位作为网络地址，该网的子网掩码为（   ）。
",D,255.255.0.0,255.255.248.0,255.255.252.0,255.255.254.0,,,
现有的网络接入手段有LAN方式、拨号接入方式、DSL接入、光纤接入、Cable Modem接入、专线接入方式(如DDN专线)、IEEE802.11无线局域网接入、GPRS和4G技术等接入技术。UDDI不属于网络接入技术范畴。    普通,"下列不属于网络接入技术范畴的是（   ）。
",A,UDDI,ADSL,DDN,IEEE802.11,,,
1、交换机(Switch)工作在第二层(即数据链路层)，它要比集线器智能一些，它能分辨出帧中的源MAC地址和目的MAC地址；2、路由器(Router)工作在第三层(即网络层)，它比交换机还要&ldquo;聪明&rdquo;一些，它能理解数据中的IP地址。    普通,下列对一些网络设备叙述错误的是（ ）。,D,网桥是对以太网帧进行操作的，是属于第二层设备,网关在网络层以上实现网络互连，是最复杂的网络互连设备，仅用于两个高层协议不同的网络互连,网络层使用的中间设备叫做路由器，它具有判断网络地址和选择路径的功能,交换机工作在第二层(即数据链路层)，它能分辨出帧中目的IP地址,,,
PPPoE是Point to Point Protocol over Ethernet的缩写，就是以太网上的PPP，即PPPoE协议。PPPoE广泛应用在包括小区组网建设等一系列应用中，以前流行的宽带接入方式ADSL就使用了PPPoE协议。    普通,一般家庭用户在使用ADSL拨号上网需要在用户端安装（ ）协议。,C,PPP,PPTP,PPPoE,TCP/IP,,,
计算机网络按覆盖范围分为局域网、城域网与广域网。    普通,"计算机网络分为局域网、城域网与广域网的依据是（    ）。
",C,网络的信息交换方式,网络的拓扑结构,网络的覆盖范围,数据的传输介质,,,
JPEG格式是最常用的图像文件格式，后缀名为.jpg或.jpeg，不是音频格式。    普通,"Internet中常用的音频文件格式不包括\n(   )\n。
",D,wave,realaudio,mpeg,jpeg,,,
网络协议指的是计算机网络中互相通信的对等实体之间交换信息时所必须遵守的规则的集合。对等实体通常是指计算机网络体系结构中处于相同层次的信息单元。    普通,"下列关于网络协议的叙述中正确的是(   )。
",D,相邻层实体之间通信要遵循共同的协议,各层之间相互独立没有联系,所有层次之间的通信都是逻辑通信,对等层实体之间通信要遵循共同的协议,,,
网状拓扑结构指各节点通过传输线互联连接起来，并且每一个节点至少与其他两个节点相连，其具有较高的可靠性，但其结构复杂，实现起来费用较高，不易管理和维护，不常用于局域网。    普通,"（    ）拓扑结构的特点是结构复杂、传输延时不确定、系统维护工作复杂。
",D,星型,总线,树型,网状,,,
"1.主板，也叫母板，安装在计算机主机箱内，是计算机最基本也是最重要的部件之一，在整个计算机系统中扮演着举足轻重的角色。主板制造质量的高低，决定了硬件系统的稳定性。主板与CPU关系密切，每一次CPU的重大升级，必然导致主板的换代。主板是计算机硬件系统的核心，也是主机箱内面积最大的一块印刷电路板。2.主板的核心是主板芯片组，它决定了主板的规格、性能和大致功能。3.BIOS是基本输入输出系统，是用于计算机开机过程中各种硬件设备的初始化和检测的芯片,它的功能决定了支持硬件的兼容性。    普通","主板（   ）芯片决定了主板兼容性的好坏。
",B,CPU,BIOS,南桥,北桥,,,
集成显卡是将显示芯片、显存及其相关电路都集成在主板上，与其融为一体的元件；集成显卡的显示芯片有单独的，但大部分都集成在主板的北桥芯片中；一些主板集成的显卡也在主板上单独安装了显存，但其容量较小，或者说集成显卡一般分为独立显存集成显卡、内存划分集成显卡以及混合式集成显卡三类。    普通,"下列关于显示适配器的叙说中错误的是（  ）。
",D,集成显卡一般是主板北桥中集成了显卡的显示芯片,核显是将显示芯片集成在CPU内部,独立显卡就是有独立的显示芯片的电路卡，接驳在主板接口插槽上,集显和核显都是不自带显存的，需要占用计算机内存,,,
主板的核心是主板芯片组，它决定了主板的规格、性能和大致功能。    普通,"计算机主板是个“载体”，它的核心和灵魂是（   ）。
",D,CPU插槽,扩展槽,BIOS芯片,芯片组,,,
硬件安装步骤不是严格固定的、部分部件的安装顺序可以调整。    普通,"下列对计算机硬件组装的描述中不正确的是(   )。
",D,若测试异常时要立即断掉电源,板卡、CPU等安装、拆卸禁止用蛮力插拔,安装前要释放人体静电，安装过程不要通电进行,硬件安装步骤是严格固定的、不得随意调整,,,
高级格式化并不会清除硬盘上的数据，只是重建了主引导扇区（分区信息）和文件分配表，也因此才有了数据恢复技术。或者说高级格式化并没有从磁盘上真正删除数据，而只是给数据所在的磁盘扇区的开头部分标识了已删除的记号，表明这里的空间可以写入新的数据。只要在格式化后原来的数据没有被新的数据覆盖，那么原来的数据还会好端端在那里，只需要使用数据恢复软件即可恢复原来的数据。    普通,"对机械硬盘高级格式化后，硬盘上真正没有改变的数据是（   ）。
",C,目录区中的数据,主引导扇区中的数据,数据区中的数据,文件分配表中的数据,,,
目前SATA硬盘，又称串口硬盘，是PC机硬盘的趋势，已基本取代了传统的PATA硬盘。    普通,目前家庭台式机中的机械硬盘主要采用串行数据传输方式，它主要端口是（ ）。,B,PATA（IDE),SATA,SCSI,M.2,,,
主存储器的速度小于Cache的速度。    普通,"下列关于主存和Cache的叙述中错误的是（   ）。
",B,Cache容量—般都小于主存储器,CPU访问主存储器的速度和访问Cache的速度没有大的区别,主存储器一般采用DRAM，Cache通常采用SRAM,在配有Cache的计算机中，CPU每次访问存储器都先访问Cache，若欲访问的数据在Cache中，则访问结束，否则再访问主存储器，并把有关数据取入cache,,,
运算器构成：算术逻辑单元、中间寄存器、运算累加器、描述字寄存器等，程序计数器是控制器的组成部件之一。    普通,"下列选项中不属于运算器构成部件的是(     )。
",A,程序计数器,运算累加器,中间寄存器,算术逻辑部件,,,
1、取指令：CPU的控制器从内存读取一条指令并放入指令寄存器。2、指令译码（解码）：指令寄存器中的指令经过译码，决定该指令应进行何种操作（就是指令里的操作码）、操作数在哪里（操作数的地址）。3、执行指令（写回），以一定格式将执行阶段的结果简单的写回。运算结果经常被写进CPU内部的暂存器，以供随后指令快速存取。4、 修改指令计数器，决定下一条指令的地址。    普通,"CPU是计算机的核心部件，它的工作原理是（   ）。
",A,取指令、指令译码、执行指令、修改指令计数器,修改指令计数器、取指令、执行指令、指令译码,指令译码、修改指令计数器、取指令、执行指令,取指令、执行指令、指令译码、修改指令计数器,,,
缓冲技术是为了协调吞吐速度相差很大的设备之间数据传送而采用的技术。1.改善CPU与I/O设备间速度不匹配的矛盾2. 提高 CPU和 I/O设备之间的并行性（并行操作）。    普通,"操作系统中采用缓冲技术的目的是为了增强系统(    )操作的能力。
",D,控制,重新执行,串行,并行,,,
①进程管理\n②存储管理\n③设备管理\n④文件管理\n⑤作业管理，其中进程管理基本就是CPU管理（处理机管理），而作业管理是负责处理用户提交请求，文件管理是文件存储空间的管理、目录管理 、文件操作管理、文件保护。    普通,"操作系统主要功能不包含(    )。
",D,处理器管理,作业管理,文件管理,数据管理,,,
操作即可知。    普通,"windows7操作使窗口最大化的方法不包含（   ）。
",D,单击最大化按钮,双击标题栏,拖拽窗口到屏幕顶端,双击关闭按钮,,,
"复制当前窗口\""Alt+PrntScr\""，操作即可。    普通","Windows7环境中若想把当前窗口复制到剪贴板，应使用（   ）。
",C,"\""PrntScr\""","\""Ctrl+PrntScr\""","\""Alt+PrntScr\""","\""Shift+PrntScr\""",,,
“中了木马”就是指本机安装了木马的服务端程序，拥有相应客户端的人就可以通过网络远程控制。    普通,"以下关于木马的特征的说法中，错误的是（   ）。
",B,木马病毒伪装自己合法化是其长期存在的主要因素,“中了木马”就是指本机安装了木马的客户端程序，拥有相应服务端的人就可以通过网络远程控制,木马高度隐藏性，通常不具备传播能力，所以高度的隐藏能提高其生存能力,“木马”经常利用下载、系统漏洞、邮件等方式进行传播,,,
信息安全入侵检测系统采用旁路连接，是一种主动保护自己免受攻击的网络安全技术。不同于防火墙，入侵检测系统是一个监听设备，没有跨接在任何链路上，无须网络流量流经它便可以工作。因此，对其部署，唯一的要求是：其应当挂接在所有所关注流量都必须流经的链路上，而不是串接连接必须流经。    普通,"在网络安全措施中采用“入侵检测系统”实际是防火墙的合理补充，下列关于它的叙述不正确的是（  ）。
",D,它能够对网络活动进行实时监视,它能简化管理员的工作，保证网络安全运行,它是一种主动保护网络免受攻击的安全技术,它跨接在主要网络链路上，当网络流量流经它便可以工作,,,
软件的署名权、修改权的保护期限是不受时间限制。    普通,"某软件开发师开发了一套考试系统，按照我国著作权法，该软件的署名权、修改权的保护期限是（   ）。
",D,10年,20年,50年,无限制,,,
数字签名特点：签权、完整性、不可抵赖。    普通,"有关数字签名的特点,哪项不正确(   )。
",C,唯一地确定签名人的身份,对签名后信件的内容是否又发生变化进行验证,具有权威性,发信人无法对信件的内容进行抵赖,,,
1、数据是事实或观察的结果，是对客观事物的逻辑归纳，是用于表示客观事物的未经加工的原始素材；\r\n2、数据可以是连续的值，比如声音、图像，称为模拟数据；也可以是离散的，如符号、文字，称为数字数据。\r\n3、数据是客观事物的属性、数量、位置及其相互关系的抽象表示。\r\n4、信息是对客观世界中各种事物的运动状态和变化的反映，是客观事物之间相互联系和相互作用的表征，表现的是客观事物运动状态和变化的实质内容。    普通,"信息和数据是有区别的，信息是（   ）。
",D,未经处理的基本素材,一种连续变化的模拟量,客观事物属性的表示,由客观事物得到的、使人们能够认知客观事物的各种消息、情报、数字、信号等所包括的内容,,,
分析选项：网络推手的“新闻炒作”违规，但网红销售没有违规。    普通,"网络文明是新形势下社会文明的重要内容，是建设网络强国的重要领域，下列说法错误的是（   ）。
",D,积极推进互联网内容建设，弘扬新风正气，深化网络生态治理，加强网络文明建设,以文化培育为基础，以实践养成为关键，以综合治网为保障，以共建共享为目标,培育和践行社会主义核心价值观，传播文明理念，培育文明风尚，营造更加清朗的网络空间,网络推手的“新闻炒作”、网络造星、网红销售都是违反网络道德网络文明的行为,,,
"1、网络交换技术:电路交换（适用于语音相关)、报文交换（存储转发)、分组交换（存储转发、分割转发)、ATM交换(高速,造价高)；2、在要求提高网络信道利用率 / 计算机之间的突发式的数据通信 / 端到端的通路有很多段的链路组成的情况下，使用分组交换是较为理想的选择。    普通","适用于计算机网络、数据传输可靠、线路利用率高且成本较低的是（    ）。
",D,ATM交换,电路交换,报文交换,分组交换,,,
计算机应用领域：科学（数字）计算、过程控制、数据（信息）管理、辅助系统、人工智能、语言翻译。。。    普通,"计算机的应用领域可大致分为（   ）方面。
",B,数值处理、AI、操作系统,实时控制、科学计算、数据处理,工程计算、数据结构、文字处理,CAI、专家系统、AI,,,
超算和PC在构成组件基本相同，但在性能和规模有差异。    普通,"下列关于超级计算机的说法错误的是（    ）。
",B,超级计算机有PC无法比拟的大存储量和高速度,超算和PC在构成组件、性能和规模有差异,超算就是巨型计算机，是国家科技发展水平和综合国力的重要标志,超算可以和云计算、云储存联系在一起，为大数据技术的发展提供保障,,,
预防性维护是不等用户提出维护申请，采用先进的软件工程方法对需要维护的软件或部分软件重新进行设计、编码和测试，以提高软件的可维护性和可靠性等目标，为以后进一步改进软件打下基础的活动。    普通,"为了改进软件将来的可维护性或可靠性或为了给以后的改进提供更好的基础而对软件进行修改，这类活动称为(    )。
",B,适应性维护,预防性维护,改正性维护,完善性维护,,,
